"1","NOTEBOOK_NSX_14""_EPSILON_CLOUD_N3350_4GB_64GB_FREE","47.008","51.708","En_stock","Envío_a_domicilio_en_72hs","Comprar"
"2","NOTEBOOK_NSX_14""_EPSILON_CLOUD_N3350_4GB_64GB_W11H","51.014","56.115","En_stock","Envío_a_domicilio_en_72hs","Comprar"
"3","NOTEBOOK_CX_14_INTEL_4G+64G+W10H_-_CLOUDBOOK_IPS","52.655","57.921","En_stock","Envío_a_domicilio_en_72hs","Comprar"
"4","CHROMEBOOK_LENOVO_11.6""_100E_AMD_A4-9120C_4GB_32GB","53.813","59.194","En_stock","Envío_a_domicilio_en_72hs","Comprar"
"5","CLOUDBOOK_HDC_14""_CY-14N3450-464_CELERON_N3450_4GB_64GB_FHD_","54.907","60.397","Poco_stock.","Envío_a_domicilio_en_72hs","Comprar"
"6","NOTEBOOK_GFAST_15.6""_N4020_4GB_120GB_W11","62.627","68.889","Poco_stock.","Comprar","_Agregar"
"7","NOTEBOOK_NSX_14""_EPSILON_CELERON_8GB_256GB_FREE","64.499","70.949","En_stock","Envío_a_domicilio_en_72hs","_Comprar"
"8","NOTEBOOK_CX_11.6""_N3350_4GB_64GB_256GB_W10P","68.901","75.791","En_stock","Envío_a_domicilio_en_72hs","Comprar"
"9","NOTEBOOK_NSX_14""_EPSILON_CELERON_J4005_8GB_480GB_FREE","71.587","78.745","En_stock","Envío_a_domicilio_en_72hs","Comprar"
"10","NOTEBOOK_HYUNDAI_14""_HYBOOK_N4020_4GB_128GB_W10H_S/FUENTE","71.597","78.757","Poco_stock.","Envío_a_domicilio_en_72hs","Comprar"
"11","NOTEBOOK_CX_14""_A9-9400_4GB_64GB_W10P","74.506","81.957","En_stock","Envío_a_domicilio_en_72hs","Comprar"
"12","NOTEBOOK_CX_15.6""_N3350_4GB_64GB_256GB_W10P","76.238","83.862","En_stock","Envío_a_domicilio_en_72hs","Comprar"
