"1","accesorios","accesorios"
"2","aire_acondicionado_ventilador","aire_acondicionado_ventilador"
"3","almacenamiento","almacenamiento"
"4","apple","apple"
"5","auriculares_y_microfonos","auriculares_y_microfonos"
"6","bicicletas","bicicletas"
"7","cables","cables"
"8","camaras","camaras"
"9","combos","combos"
"10","conectividad_y_redes","conectividad_y_redes"
"11","consolas","consolas"
"12","equipos","equipos"
"13","estabilizadores_y_ups","estabilizadores_y_ups"
"14","fuentes","fuentes"
"15","gabinetes","gabinetes"
"16","impresoras","impresoras"
"17","joystick","joystick"
"18","linea_hogar","linea_hogar"
"19","memorias","memorias"
"20","microprocesador","microprocesador"
"21","monitores","monitores"
"22","motherboard","motherboard"
"23","mouse_pad","mouse_pad"
"24","mouses","mouses"
"25","multimedia","multimedia"
"26","notebooks","notebooks"
"27","parlantes","parlantes"
"28","pen_drives","pen_drives"
"29","peque?os_electrodomesticos","peque?os_electrodomesticos"
"30","placas_de_video","placas_de_video"
"31","proyectores","proyectores"
"32","rack","rack"
"33","refrigeracion","refrigeracion"
"34","servidores","servidores"
"35","sillas_gamer","sillas_gamer"
"36","smart_home","smart_home"
"37","smartwatches","smartwatches"
"38","software","software"
"39","tablet_y_ebook","tablet_y_ebook"
"40","teclados","teclados"
"41","telefonia","telefonia"
"42","televisores","televisores"
"43","accesorios","accesorios"
"44","aire_acondicionado_ventilador","aire_acondicionado_ventilador"
"45","almacenamiento","almacenamiento"
"46","apple","apple"
"47","auriculares_y_microfonos","auriculares_y_microfonos"
