"1","varios","accesorios","1"
"2","soportes","accesorios","1"
"3","Ver_más","accesorios","1"
"4","aire_acondicionados","aire_acondicionado_ventilador","2"
"5","Ver_más","aire_acondicionado_ventilador","2"
"6","discos_sata","almacenamiento","3"
"7","disco_de_notebook","almacenamiento","3"
"8","externos","almacenamiento","3"
"9","ssd","almacenamiento","3"
"10","Ver_más","almacenamiento","3"
"11","apple","apple","4"
"12","Ver_más","apple","4"
"13","auriculares_con_microfono","auriculares_y_microfonos","5"
"14","auriculares_inalambricos","auriculares_y_microfonos","5"
"15","microfonos","auriculares_y_microfonos","5"
"16","accesorios_para_auriculares","auriculares_y_microfonos","5"
"17","auriculares_bluetooth","auriculares_y_microfonos","5"
"18","Ver_más","auriculares_y_microfonos","5"
"19","bicicletas_electricas","bicicletas","6"
"20","Ver_más","bicicletas","6"
"21","cables_hdmi","cables","7"
"22","Ver_más","cables","7"
"23","webcam","camaras","8"
"24","camaras_ip_dvr","camaras","8"
"25","camaras_deportivas","camaras","8"
"26","Ver_más","camaras","8"
"27","combo_amd_ryzen_5","combos","9"
"28","combo_intel_i3","combos","9"
"29","combo_amd_ryzen_9","combos","9"
"30","combo_intel_i5","combos","9"
"31","combo_intel_i7","combos","9"
"32","Ver_más","combos","9"
"33","switch","conectividad_y_redes","10"
"34","placa_de_red_wifi","conectividad_y_redes","10"
"35","placa_ethernet","conectividad_y_redes","10"
"36","router_hogar","conectividad_y_redes","10"
"37","access_point_y_antenas","conectividad_y_redes","10"
"38","nas","conectividad_y_redes","10"
"39","fibra_optica","conectividad_y_redes","10"
"40","adaptadores","conectividad_y_redes","10"
"41","router_empresa","conectividad_y_redes","10"
"42","Ver_más","conectividad_y_redes","10"
"43","playstation","consolas","11"
"44","xbox","consolas","11"
"45","Ver_más","consolas","11"
"46","pc_armada_amd_ryzen_5","equipos","12"
"47","pc_cx","equipos","12"
"48","pc_armada_amd_ryzen_7","equipos","12"
"49","pc_armada_intel_i5","equipos","12"
"50","pc_armada_intel_i7","equipos","12"
"51","all_in_one","equipos","12"
"52","mini_pc","equipos","12"
"53","pc_armada_intel_celeron","equipos","12"
"54","pc_armada_amd_ryzen_5_c_b550","equipos","12"
"55","pc_armada_amd_ryzen_9","equipos","12"
"56","pc_armada_intel_i9","equipos","12"
"57","pc_armada_amd_ryzen_3","equipos","12"
"58","pc_armada_intel_i3","equipos","12"
"59","Ver_más","equipos","12"
"60","ups","estabilizadores_y_ups","13"
"61","estabilizadores","estabilizadores_y_ups","13"
"62","Ver_más","estabilizadores_y_ups","13"
"63","fuentes","fuentes","14"
"64","fuentes_certificadas","fuentes","14"
"65","Ver_más","fuentes","14"
"66","gabinetes_kit","gabinetes","15"
"67","gabinetes_sin_fuente","gabinetes","15"
"68","accesorios_para_gabinetes","gabinetes","15"
"69","Ver_más","gabinetes","15"
"70","impresoras_laser","impresoras","16"
"71","escaner","impresoras","16"
"72","impresoras_multifuncion","impresoras","16"
"73","plotter","impresoras","16"
"74","impresora_matriz","impresoras","16"
"75","impresoras_3d","impresoras","16"
"76","Ver_más","impresoras","16"
"77","volantes","joystick","17"
